artist,album,track_number,track_name,track_id
Taylor Swift,Lover,1,I Forgot That You Existed,43rA71bccXFGD4C8GOpIlN
Taylor Swift,Lover,2,Cruel Summer,1BxfuPKGuaTgP7aM0Bbdwr
Taylor Swift,Lover,3,Lover,1dGr1c8CrMLDpV6mPbImSI
Taylor Swift,Lover,4,The Man,3RauEVgRgj1IuWdJ9fDs70
Taylor Swift,Lover,5,The Archer,3pHkh7d0lzM2AldUtz2x37
Taylor Swift,Lover,6,I Think He Knows,2YWtcWi3a83pdEg3Gif4Pd
Taylor Swift,Lover,7,Miss Americana & The Heartbreak Prince,214nt20w5wOxJnY462klLw
Taylor Swift,Lover,8,Paper Rings,4y5bvROuBDPr5fuwXbIBZR
Taylor Swift,Lover,9,Cornelia Street,12M5uqx0ZuwkpLp5rJim1a
Taylor Swift,Lover,10,Death By A Thousand Cuts,2dgFqt3w9xIQRjhPtwNk3D
Taylor Swift,Lover,11,London Boy,1LLXZFeAHK9R4xUramtUKw
Taylor Swift,Lover,12,Soon You’ll Get Better (feat. Dixie Chicks),4AYtqFyFbX0Xkc2wtcygTr
Taylor Swift,Lover,13,False God,5hQSXkFgbxjZo9uCwd11so
Taylor Swift,Lover,14,You Need To Calm Down,6RRNNciQGZEXnqk8SQ9yv5
Taylor Swift,Lover,15,Afterglow,1SymEzIT3H8UZfibCs3TYi
Taylor Swift,Lover,16,ME! (feat. Brendon Urie of Panic! At The Disco),2Rk4JlNc2TPmZe2af99d45
Taylor Swift,Lover,17,It’s Nice To Have A Friend,1SmiQ65iSAbPto6gPFlBYm
Taylor Swift,Lover,18,Daylight,1fzAuUVbzlhZ1lJAx9PtY6
Post Malone,Hollywood's Bleeding,1,Hollywood's Bleeding,7sWRlDoTDX8geTR8zzr2vt
Post Malone,Hollywood's Bleeding,2,Saint-Tropez,05mDaV9Vb3wrzjF6OPZnhq
Post Malone,Hollywood's Bleeding,3,Enemies (feat. DaBaby),0Xek5rqai2jcOWCYWJfVCF
Post Malone,Hollywood's Bleeding,4,Allergic,1YscJ7yVTlFxW3eF6pv5ba
Post Malone,Hollywood's Bleeding,5,A Thousand Bad Times,2J0NXdHr6MYvKDSxB7k3V2
Post Malone,Hollywood's Bleeding,6,Circles,21jGcNKet2qwijlDFuPiPb
Post Malone,Hollywood's Bleeding,7,Die For Me (feat. Future & Halsey),2C6WXnmZ66tHhHlnvwePiK
Post Malone,Hollywood's Bleeding,8,On The Road (feat. Meek Mill & Lil Baby),12Fkyg9lpmaz2zmKOfw2Y2
Post Malone,Hollywood's Bleeding,9,Take What You Want (feat. Ozzy Osbourne & Travis Scott),7CZyCXKG6d5ALeq41sLzbw
Post Malone,Hollywood's Bleeding,10,I'm Gonna Be,1ckLp8lCl8LipXI0ypX72m
Post Malone,Hollywood's Bleeding,11,Staring At The Sun (feat. SZA),5KE9b4x7Zj2A8XtbkqhqTe
Post Malone,Hollywood's Bleeding,12,Sunflower - Spider-Man: Into the Spider-Verse,0RiRZpuVRbi7oqRdSMwhQY
Post Malone,Hollywood's Bleeding,13,Internet,0KAzP1Rbp0Vz5pw8i1KDDI
Post Malone,Hollywood's Bleeding,14,Goodbyes (feat. Young Thug),0t3ZvGKlmYmVsDzBJAXK8C
Post Malone,Hollywood's Bleeding,15,Myself,2cvOfKHOHgwQlLiuLKP2xR
Post Malone,Hollywood's Bleeding,16,I Know,6b2mfHMqWCA74XmUuVJm8r
Post Malone,Hollywood's Bleeding,17,Wow.,7xQAfvXzm3AkraOtGPWIZg
Kanye West,JESUS IS KING,1,Every Hour,1WnqWQcWcuQbVzgE7ecfCY
Kanye West,JESUS IS KING,2,Selah,39JRmdKFka1Oe09FoOCPI4
Kanye West,JESUS IS KING,3,Follow God,2QpGZOhTCHHiKmpSO9FW4h
Kanye West,JESUS IS KING,4,Closed On Sunday,3JWiDGQX2eTlFvKj3Yssj3
Kanye West,JESUS IS KING,5,On God,2SasoXZyv82yYgHiVOvxQn
Kanye West,JESUS IS KING,6,Everything We Need,24bnCCysWnbNRNUT4LpHcP
Kanye West,JESUS IS KING,7,Water,454Epa1vrCGFddHXKyC1kb
Kanye West,JESUS IS KING,8,God Is,6xRWoYwfwIKnT8bQGzKbxR
Kanye West,JESUS IS KING,9,Hands On,7r6aR2f57resC5r93LwMfK
Kanye West,JESUS IS KING,10,Use This Gospel,0oPOuDmmkVp3h6puekhs6P
Kanye West,JESUS IS KING,11,Jesus Is Lord,7sBgFMWqDWQgrsNSpIBoe8
Luke Combs,What You See Is What You Get,1,Beer Never Broke My Heart,3RzcoFkZ0AOp2nH71jP504
Luke Combs,What You See Is What You Get,2,Refrigerator Door,1rLhKgfBTu7qGEz98IpQxo
Luke Combs,What You See Is What You Get,3,Even Though I'm Leaving,5aZQrb2TXWEh9uZR4HEY3r
Luke Combs,What You See Is What You Get,4,Lovin' On You,2AxR3AIQxTf6xjxrb9UkH2
Luke Combs,What You See Is What You Get,5,Moon Over Mexico,54QmQd9Nc2EUDha6dD8V9X
Luke Combs,What You See Is What You Get,6,"1, 2 Many",6pgN3d6oBrhmrSAKBfWNsf
Luke Combs,What You See Is What You Get,7,Blue Collar Boys,0KtxdSPi1ZbDc3wwD2IGF0
Luke Combs,What You See Is What You Get,8,New Every Day,5NwCPmFHJAoKe0PSw2ltJD
Luke Combs,What You See Is What You Get,9,Reasons,4T6QFouj6rIQObxgwt9ELL
Luke Combs,What You See Is What You Get,10,Every Little Bit Helps,3APKvzQ6xiu7Fcu9Y1EKni
Luke Combs,What You See Is What You Get,11,Dear Today,7j3aRaky6Xr1fpuqmB3s4w
Luke Combs,What You See Is What You Get,12,What You See Is What You Get,1xIgz2QjA85ZpXiIoj6mMo
Luke Combs,What You See Is What You Get,13,Does To Me (feat. Eric Church),17TSJlshgQ5zu0e8dedAla
Luke Combs,What You See Is What You Get,14,Angels Workin' Overtime,7dRPUAYfMGZmZ7L3fZAJKp
Luke Combs,What You See Is What You Get,15,All Over Again,0bNVNlZSHj3xSuMJWfzxuT
Luke Combs,What You See Is What You Get,16,Nothing Like You,5ppDdMho96v8gdDm7HKEbK
Luke Combs,What You See Is What You Get,17,Better Together,1tSGw3h54aHModEHHL1HGK
Khalid,Free Spirit,1,Intro,5BfMJ6iytQnu1r7iiCYSXe
Khalid,Free Spirit,2,Bad Luck,2vsuel3g4zaLYSOY0mOMbi
Khalid,Free Spirit,3,My Bad,2XKFnwB6djxrJCjR3PdeRb
Khalid,Free Spirit,4,Better,339Y993TrFyWyO438be0RY
Khalid,Free Spirit,5,Talk (feat. Disclosure),6TqXcAFInzjp0bODyvrWEq
Khalid,Free Spirit,6,Right Back,5A1w94uzc1kO1Zhe8WWxC3
Khalid,Free Spirit,7,Don't Pretend (feat. SAFE),1E6DEDWDKHoOW0fcFuDghV
Khalid,Free Spirit,8,Paradise,6fOOKqQWcSy33ApU1wqkkW
Khalid,Free Spirit,9,Hundred,0HEckRWFSknIupbGzavk5d
Khalid,Free Spirit,10,Outta My Head (with John Mayer),09oZ9eXQ2fo6YDrPzJqAoP
Khalid,Free Spirit,11,Free Spirit,2kAIpGWnlFLQh48iut6Zzq
Khalid,Free Spirit,12,Twenty One,1NgCWYuBLfqBDA3b8MgSVU
Khalid,Free Spirit,13,Bluffin',42w7pX3r1TpLR0i55Ek5ND
Khalid,Free Spirit,14,Self,1WqLtczgKdbHFHhefOU0y7
Khalid,Free Spirit,15,Alive,12VqHHz4wvVcnEdSivjLeQ
Khalid,Free Spirit,16,Heaven,0Hgqglypzt6Qs5Duqskcqs
Khalid,Free Spirit,17,Saturday Nights,1fHRzxbts9A8J1ergDe7Kz
Jonas Brothers,Happiness Begins,1,Sucker,22vgEDb5hykfaTwLuskFGD
Jonas Brothers,Happiness Begins,2,Cool,7yfi8B8opXjnRh4VZnOkz9
Jonas Brothers,Happiness Begins,3,Only Human,0DiDStADDVh3SvAsoJAFMk
Jonas Brothers,Happiness Begins,4,I Believe,1vYh9x8UmFTLbXiizk9Qc5
Jonas Brothers,Happiness Begins,5,Used To Be,2n6red10oCd6YhlEUp6jXy
Jonas Brothers,Happiness Begins,6,Every Single Time,76F54HHrw84yqAYqrAJkbr
Jonas Brothers,Happiness Begins,7,Don't Throw it Away,24eP9hGnGR6RCQvllQVkCm
Jonas Brothers,Happiness Begins,8,Love Her,2hgk8iKN9UdoM4ILlJ9F5N
Jonas Brothers,Happiness Begins,9,Happy When I'm Sad,6DibqiBTKMob2SjBwKqRfS
Jonas Brothers,Happiness Begins,10,Trust,5MoU7TaAvgBa8W0XVwXAd7
Jonas Brothers,Happiness Begins,11,Strangers,5md87aD3pGXRghKUbZdyh8
Jonas Brothers,Happiness Begins,12,Hesitate,7fiFJADUcHwTdYLmnZeLAy
Jonas Brothers,Happiness Begins,13,Rollercoaster,7dxKdQC9Vo1hDxIUnt1z0Q
Jonas Brothers,Happiness Begins,14,Comeback,064tgRK6FYBwikCdxaHFV1
BTS,MAP OF THE SOUL : PERSONA,1,Intro : Persona,2isSdmQfVv32j2haL6hk9x
BTS,MAP OF THE SOUL : PERSONA,2,Boy With Luv (feat. Halsey),5KawlOMHjWeUjQtnuRs22c
BTS,MAP OF THE SOUL : PERSONA,3,Mikrokosmos,5hnbE5BF2e8BCk9OMR1UVC
BTS,MAP OF THE SOUL : PERSONA,4,Make It Right,6KUE0HSSudAp9AOycaF6SH
BTS,MAP OF THE SOUL : PERSONA,5,HOME,7lthOBXNue2IvedLRfkod8
BTS,MAP OF THE SOUL : PERSONA,6,Jamais Vu,0eeeyCAGnGZInPtpkdYiPa
BTS,MAP OF THE SOUL : PERSONA,7,Dionysus,6JdS5rJvJaRA7B1tcm7kxZ
Shawn Mendes,Shawn Mendes (Deluxe),1,Señorita,6v3KW9xbzN5yKLt9YKDYA2
Shawn Mendes,Shawn Mendes (Deluxe),2,Lost In Japan,0TFpGNlWslRQO4oyTtJq6K
Shawn Mendes,Shawn Mendes (Deluxe),3,If I Can't Have You,2bT1PH7Cw3J9p3t7nlXCdh
Shawn Mendes,Shawn Mendes (Deluxe),4,In My Blood,2SFnIqRWyHt9MUNeXkykii
Shawn Mendes,Shawn Mendes (Deluxe),5,Fallin' All In You,49u62ZMTXz91U8V4uXaJ4q
Shawn Mendes,Shawn Mendes (Deluxe),6,Where Were You In The Morning?,2UCYrYM83sowbj1OG6qsVn
Shawn Mendes,Shawn Mendes (Deluxe),7,Nervous,3J3AQ7NSo0p3RX8U2gnC4v
Shawn Mendes,Shawn Mendes (Deluxe),8,Like To Be You (feat. Julia Michaels),5VQBZPF4L2VrR7aMfAdRq3
Shawn Mendes,Shawn Mendes (Deluxe),9,Particular Taste,3isPczLtjVuERmr5hpSvIl
Shawn Mendes,Shawn Mendes (Deluxe),10,Because I Had You,1RL042HeY9ln1Bwu2ODyJJ
Shawn Mendes,Shawn Mendes (Deluxe),11,Why,6oZk0lzaP7RcwKjyZrIJBV
Shawn Mendes,Shawn Mendes (Deluxe),12,Youth (feat. Khalid),5cWIKVqSpJQiRmG59sfii5
Shawn Mendes,Shawn Mendes (Deluxe),13,Perfectly Wrong,1UWbBNuBIB9wYg82aaWRvN
Shawn Mendes,Shawn Mendes (Deluxe),14,Mutual,2d3zTjEWyOzKDPOLjDSRlR
Shawn Mendes,Shawn Mendes (Deluxe),15,Queen,2eKH2typXktOBTgWrOHnni
Shawn Mendes,Shawn Mendes (Deluxe),16,When You're Ready,2s6BVlw41U03QdFaMeT5FQ
Ariana Grande,"thank u, next",1,imagine,39LmTF9RgyakzSYX8txrow
Ariana Grande,"thank u, next",2,needy,1TEL6MlSSVLSdhOSddidlJ
Ariana Grande,"thank u, next",3,NASA,4uTvPEr01pjTbZgl7jcKBD
Ariana Grande,"thank u, next",4,bloodline,2hloaUoRonYssMuqLCBLTX
Ariana Grande,"thank u, next",5,fake smile,3wFLWP0FcIqHK1wb1CPthQ
Ariana Grande,"thank u, next",6,bad idea,5Il6Oe7lr5XM7A0cWbVQtr
Ariana Grande,"thank u, next",7,make up,27356GVuMPFWiJSZCragoM
Ariana Grande,"thank u, next",8,ghostin,2vdBo4ALPYbHRUPKgtE5iC
Ariana Grande,"thank u, next",9,in my head,4T652DlATVHe0jdLKaN3Bw
Ariana Grande,"thank u, next",10,7 rings,6ocbgoVGwYJhOv1GgI9NsF
Ariana Grande,"thank u, next",11,"thank u, next",3e9HZxeyfWwjeyPAMmWSSQ
Ariana Grande,"thank u, next",12,"break up with your girlfriend, i'm bored",4kV4N9D1iKVxx1KLvtTpjS
Lil Tecca,We Love You Tecca,1,Ransom,6EOKwHETwSkZ9gW2b6ASE0
Lil Tecca,We Love You Tecca,2,Shots,5xjei7JnROsAzLY2a7RdZU
Lil Tecca,We Love You Tecca,3,Sidenote,17rhhpDU4Da35Vk9jXeHS0
Lil Tecca,We Love You Tecca,4,Did It Again,6alCTRgBPoeAFi2N4il9Q4
Lil Tecca,We Love You Tecca,5,Out Of Luck,2ZGvw7BpnUHG89yt8fNxH7
Lil Tecca,We Love You Tecca,6,"Left, Right",0HJvoOkpflwYJb21VkTmGD
Lil Tecca,We Love You Tecca,7,Bossanova,1FUVCa49nKsPRuznGVrIFY
Lil Tecca,We Love You Tecca,8,Amigo,6qWSHYcZEvE0MIcH2WmB23
Lil Tecca,We Love You Tecca,9,Phenom,56Jd7sjIDm2wT3T9tyMiX7
Lil Tecca,We Love You Tecca,10,Weatherman,2bc19Bhbt9FCkvgWPT1IHL
Lil Tecca,We Love You Tecca,11,DUI,7Jl7a1UvWslTea6gA4vTjw
Lil Tecca,We Love You Tecca,12,Love Me,3TLwAp3uX1nKsVxrDhNPOL
Lil Tecca,We Love You Tecca,13,Molly Girl,58neYWG7UyoQI0IC8lhfP5
Lil Tecca,We Love You Tecca,14,The Score,1TDPszDpH1AZKlAPhdL4gH
Lil Tecca,We Love You Tecca,15,Senorita,3eRUV5XlsGW72Q7hcneLpY
Lil Tecca,We Love You Tecca,16,Count Me Out,3nZxBgflsmuhfRQ74Q9Mbd
Lil Tecca,We Love You Tecca,17,Ransom (with Juice WRLD) - Remix,0DZJACISivjWjscIp5Kg1q
Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",1,!!!!!!!,0rQtoQXQfwpDW0c7Fw1NeM
Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2,bad guy,2Fxmhks0bxGSBdJ92vM42m
Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",3,xanny,4QIo4oxwzzafcBWkKjDpXY
Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",4,you should see me in a crown,3XF5xLJHOQQRbWya6hBp7d
Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",5,all the good girls go to hell,6IRdLKIyS4p7XNiP8r6rsx
Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",6,wish you were gay,3Fj47GNK2kUF0uaEDgXLaD
Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",7,when the party's over,43zdsphuZLzwA9k4DJhU0I
Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",8,8,6X29iaaazwho3ab7GNue5r
Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",9,my strange addiction,3Tc57t9l2O8FwQZtQOvPXK
Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",10,bury a friend,4SSnFejRGlZikf02HLewEF
Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",11,ilomilo,7qEKqBCD2vE5vIBsrUitpD
