,artist,album,track_number,track_name,track_id,popularity
0,Taylor Swift,Lover,1,I Forgot That You Existed,43rA71bccXFGD4C8GOpIlN,83
1,Taylor Swift,Lover,2,Cruel Summer,1BxfuPKGuaTgP7aM0Bbdwr,83
2,Taylor Swift,Lover,3,Lover,1dGr1c8CrMLDpV6mPbImSI,89
3,Taylor Swift,Lover,4,The Man,3RauEVgRgj1IuWdJ9fDs70,83
4,Taylor Swift,Lover,5,The Archer,3pHkh7d0lzM2AldUtz2x37,80
5,Taylor Swift,Lover,6,I Think He Knows,2YWtcWi3a83pdEg3Gif4Pd,79
6,Taylor Swift,Lover,7,Miss Americana & The Heartbreak Prince,214nt20w5wOxJnY462klLw,79
7,Taylor Swift,Lover,8,Paper Rings,4y5bvROuBDPr5fuwXbIBZR,80
8,Taylor Swift,Lover,9,Cornelia Street,12M5uqx0ZuwkpLp5rJim1a,79
9,Taylor Swift,Lover,10,Death By A Thousand Cuts,2dgFqt3w9xIQRjhPtwNk3D,78
10,Taylor Swift,Lover,11,London Boy,1LLXZFeAHK9R4xUramtUKw,79
11,Taylor Swift,Lover,12,Soon You’ll Get Better (feat. Dixie Chicks),4AYtqFyFbX0Xkc2wtcygTr,76
12,Taylor Swift,Lover,13,False God,5hQSXkFgbxjZo9uCwd11so,77
13,Taylor Swift,Lover,14,You Need To Calm Down,6RRNNciQGZEXnqk8SQ9yv5,88
14,Taylor Swift,Lover,15,Afterglow,1SymEzIT3H8UZfibCs3TYi,78
15,Taylor Swift,Lover,16,ME! (feat. Brendon Urie of Panic! At The Disco),2Rk4JlNc2TPmZe2af99d45,87
16,Taylor Swift,Lover,17,It’s Nice To Have A Friend,1SmiQ65iSAbPto6gPFlBYm,75
17,Taylor Swift,Lover,18,Daylight,1fzAuUVbzlhZ1lJAx9PtY6,76
18,Post Malone,Hollywood's Bleeding,1,Hollywood's Bleeding,7sWRlDoTDX8geTR8zzr2vt,89
19,Post Malone,Hollywood's Bleeding,2,Saint-Tropez,05mDaV9Vb3wrzjF6OPZnhq,90
20,Post Malone,Hollywood's Bleeding,3,Enemies (feat. DaBaby),0Xek5rqai2jcOWCYWJfVCF,89
21,Post Malone,Hollywood's Bleeding,4,Allergic,1YscJ7yVTlFxW3eF6pv5ba,82
22,Post Malone,Hollywood's Bleeding,5,A Thousand Bad Times,2J0NXdHr6MYvKDSxB7k3V2,84
23,Post Malone,Hollywood's Bleeding,6,Circles,21jGcNKet2qwijlDFuPiPb,100
24,Post Malone,Hollywood's Bleeding,7,Die For Me (feat. Future & Halsey),2C6WXnmZ66tHhHlnvwePiK,86
25,Post Malone,Hollywood's Bleeding,8,On The Road (feat. Meek Mill & Lil Baby),12Fkyg9lpmaz2zmKOfw2Y2,86
26,Post Malone,Hollywood's Bleeding,9,Take What You Want (feat. Ozzy Osbourne & Travis Scott),7CZyCXKG6d5ALeq41sLzbw,92
27,Post Malone,Hollywood's Bleeding,10,I'm Gonna Be,1ckLp8lCl8LipXI0ypX72m,82
28,Post Malone,Hollywood's Bleeding,11,Staring At The Sun (feat. SZA),5KE9b4x7Zj2A8XtbkqhqTe,82
29,Post Malone,Hollywood's Bleeding,12,Sunflower - Spider-Man: Into the Spider-Verse,0RiRZpuVRbi7oqRdSMwhQY,88
30,Post Malone,Hollywood's Bleeding,13,Internet,0KAzP1Rbp0Vz5pw8i1KDDI,79
31,Post Malone,Hollywood's Bleeding,14,Goodbyes (feat. Young Thug),0t3ZvGKlmYmVsDzBJAXK8C,94
32,Post Malone,Hollywood's Bleeding,15,Myself,2cvOfKHOHgwQlLiuLKP2xR,82
33,Post Malone,Hollywood's Bleeding,16,I Know,6b2mfHMqWCA74XmUuVJm8r,80
34,Post Malone,Hollywood's Bleeding,17,Wow.,7xQAfvXzm3AkraOtGPWIZg,89
35,Kanye West,JESUS IS KING,1,Every Hour,1WnqWQcWcuQbVzgE7ecfCY,83
36,Kanye West,JESUS IS KING,2,Selah,39JRmdKFka1Oe09FoOCPI4,85
37,Kanye West,JESUS IS KING,3,Follow God,2QpGZOhTCHHiKmpSO9FW4h,93
38,Kanye West,JESUS IS KING,4,Closed On Sunday,3JWiDGQX2eTlFvKj3Yssj3,86
39,Kanye West,JESUS IS KING,5,On God,2SasoXZyv82yYgHiVOvxQn,86
40,Kanye West,JESUS IS KING,6,Everything We Need,24bnCCysWnbNRNUT4LpHcP,85
41,Kanye West,JESUS IS KING,7,Water,454Epa1vrCGFddHXKyC1kb,83
42,Kanye West,JESUS IS KING,8,God Is,6xRWoYwfwIKnT8bQGzKbxR,83
43,Kanye West,JESUS IS KING,9,Hands On,7r6aR2f57resC5r93LwMfK,82
44,Kanye West,JESUS IS KING,10,Use This Gospel,0oPOuDmmkVp3h6puekhs6P,85
45,Kanye West,JESUS IS KING,11,Jesus Is Lord,7sBgFMWqDWQgrsNSpIBoe8,81
46,Luke Combs,What You See Is What You Get,1,Beer Never Broke My Heart,3RzcoFkZ0AOp2nH71jP504,75
47,Luke Combs,What You See Is What You Get,2,Refrigerator Door,1rLhKgfBTu7qGEz98IpQxo,72
48,Luke Combs,What You See Is What You Get,3,Even Though I'm Leaving,5aZQrb2TXWEh9uZR4HEY3r,74
49,Luke Combs,What You See Is What You Get,4,Lovin' On You,2AxR3AIQxTf6xjxrb9UkH2,72
50,Luke Combs,What You See Is What You Get,5,Moon Over Mexico,54QmQd9Nc2EUDha6dD8V9X,71
51,Luke Combs,What You See Is What You Get,6,"1, 2 Many",6pgN3d6oBrhmrSAKBfWNsf,73
52,Luke Combs,What You See Is What You Get,7,Blue Collar Boys,0KtxdSPi1ZbDc3wwD2IGF0,73
53,Luke Combs,What You See Is What You Get,8,New Every Day,5NwCPmFHJAoKe0PSw2ltJD,72
54,Luke Combs,What You See Is What You Get,9,Reasons,4T6QFouj6rIQObxgwt9ELL,73
55,Luke Combs,What You See Is What You Get,10,Every Little Bit Helps,3APKvzQ6xiu7Fcu9Y1EKni,72
56,Luke Combs,What You See Is What You Get,11,Dear Today,7j3aRaky6Xr1fpuqmB3s4w,73
57,Luke Combs,What You See Is What You Get,12,What You See Is What You Get,1xIgz2QjA85ZpXiIoj6mMo,72
58,Luke Combs,What You See Is What You Get,13,Does To Me (feat. Eric Church),17TSJlshgQ5zu0e8dedAla,75
59,Luke Combs,What You See Is What You Get,14,Angels Workin' Overtime,7dRPUAYfMGZmZ7L3fZAJKp,71
60,Luke Combs,What You See Is What You Get,15,All Over Again,0bNVNlZSHj3xSuMJWfzxuT,73
61,Luke Combs,What You See Is What You Get,16,Nothing Like You,5ppDdMho96v8gdDm7HKEbK,73
62,Luke Combs,What You See Is What You Get,17,Better Together,1tSGw3h54aHModEHHL1HGK,76
63,Khalid,Free Spirit,1,Intro,5BfMJ6iytQnu1r7iiCYSXe,66
64,Khalid,Free Spirit,2,Bad Luck,2vsuel3g4zaLYSOY0mOMbi,72
65,Khalid,Free Spirit,3,My Bad,2XKFnwB6djxrJCjR3PdeRb,70
66,Khalid,Free Spirit,4,Better,339Y993TrFyWyO438be0RY,70
67,Khalid,Free Spirit,5,Talk (feat. Disclosure),6TqXcAFInzjp0bODyvrWEq,84
68,Khalid,Free Spirit,6,Right Back,5A1w94uzc1kO1Zhe8WWxC3,72
69,Khalid,Free Spirit,7,Don't Pretend (feat. SAFE),1E6DEDWDKHoOW0fcFuDghV,70
70,Khalid,Free Spirit,8,Paradise,6fOOKqQWcSy33ApU1wqkkW,69
71,Khalid,Free Spirit,9,Hundred,0HEckRWFSknIupbGzavk5d,70
72,Khalid,Free Spirit,10,Outta My Head (with John Mayer),09oZ9eXQ2fo6YDrPzJqAoP,78
73,Khalid,Free Spirit,11,Free Spirit,2kAIpGWnlFLQh48iut6Zzq,75
74,Khalid,Free Spirit,12,Twenty One,1NgCWYuBLfqBDA3b8MgSVU,69
75,Khalid,Free Spirit,13,Bluffin',42w7pX3r1TpLR0i55Ek5ND,67
76,Khalid,Free Spirit,14,Self,1WqLtczgKdbHFHhefOU0y7,66
77,Khalid,Free Spirit,15,Alive,12VqHHz4wvVcnEdSivjLeQ,69
78,Khalid,Free Spirit,16,Heaven,0Hgqglypzt6Qs5Duqskcqs,67
79,Khalid,Free Spirit,17,Saturday Nights,1fHRzxbts9A8J1ergDe7Kz,71
80,Jonas Brothers,Happiness Begins,1,Sucker,22vgEDb5hykfaTwLuskFGD,81
81,Jonas Brothers,Happiness Begins,2,Cool,7yfi8B8opXjnRh4VZnOkz9,76
82,Jonas Brothers,Happiness Begins,3,Only Human,0DiDStADDVh3SvAsoJAFMk,88
83,Jonas Brothers,Happiness Begins,4,I Believe,1vYh9x8UmFTLbXiizk9Qc5,75
84,Jonas Brothers,Happiness Begins,5,Used To Be,2n6red10oCd6YhlEUp6jXy,67
85,Jonas Brothers,Happiness Begins,6,Every Single Time,76F54HHrw84yqAYqrAJkbr,65
86,Jonas Brothers,Happiness Begins,7,Don't Throw it Away,24eP9hGnGR6RCQvllQVkCm,65
87,Jonas Brothers,Happiness Begins,8,Love Her,2hgk8iKN9UdoM4ILlJ9F5N,69
88,Jonas Brothers,Happiness Begins,9,Happy When I'm Sad,6DibqiBTKMob2SjBwKqRfS,63
89,Jonas Brothers,Happiness Begins,10,Trust,5MoU7TaAvgBa8W0XVwXAd7,63
90,Jonas Brothers,Happiness Begins,11,Strangers,5md87aD3pGXRghKUbZdyh8,66
91,Jonas Brothers,Happiness Begins,12,Hesitate,7fiFJADUcHwTdYLmnZeLAy,68
92,Jonas Brothers,Happiness Begins,13,Rollercoaster,7dxKdQC9Vo1hDxIUnt1z0Q,71
93,Jonas Brothers,Happiness Begins,14,Comeback,064tgRK6FYBwikCdxaHFV1,65
94,BTS,MAP OF THE SOUL : PERSONA,1,Intro : Persona,2isSdmQfVv32j2haL6hk9x,71
95,BTS,MAP OF THE SOUL : PERSONA,2,Boy With Luv (feat. Halsey),5KawlOMHjWeUjQtnuRs22c,87
96,BTS,MAP OF THE SOUL : PERSONA,3,Mikrokosmos,5hnbE5BF2e8BCk9OMR1UVC,76
97,BTS,MAP OF THE SOUL : PERSONA,4,Make It Right,6KUE0HSSudAp9AOycaF6SH,78
98,BTS,MAP OF THE SOUL : PERSONA,5,HOME,7lthOBXNue2IvedLRfkod8,76
99,BTS,MAP OF THE SOUL : PERSONA,6,Jamais Vu,0eeeyCAGnGZInPtpkdYiPa,73
